Dimension,Count,Keys
20x20,26,"00d62c1b, 06df4c85, 23b5c85d, 2dd70a9a, 50846271, 6cf79266, 6d58a25d, 776ffc46, 780d0b14, 868de0fa, 8efcae92, b527c5c6, b775ac94, db93a21d"
8x8,25,"28bf18c6, 28e73c20, 54d82841, 67a423a3, 75b8110e, 77fdfe62, 85c4e7cd, a5313dff, a5f85a15, bda2d7a6, caa06a1f, cbded52d, d10ecb37, dc1df850, ec883f72"
16x16,20,"3345333e, 913fb3ed, 91714a58, 9ecd008a, 9edfc990, b8825c91, c3f564a4, dc0a314f"
21x21,16,"045e512c, 0b148d64, 0dfd9992, 73251a56, 890034e9, 90c28cc7"
5x7,15,"1b2d62fb, 239be575, 54d82841, 963e52fc, a740d043, bc1d5164, db3e9e38"
30x30,13,"1f85a75f, 264363fd, 3631a71a, a64e4611, b775ac94"
9x4,12,"6430c8c4, 99b1bc43, ce4f8723"
3x4,11,"10fcaaa3, 3af2c5a8, 4c4377d9, 9af7a82c, b1948b0a, c8f0f002"
14x14,11,"39a8645d, 4093f84a, 4c5c2cf0, a8c38be5, b775ac94, f35d900a"
3x11,11,"234bbc79, 54d9e175, 8e5a5113, ba26e723"
18x18,10,"29ec7d0e, 4290ef0e, a8d7556c, ce602527"
4x4,10,"10fcaaa3, 1e0a9b12, 67385a82, 67a3c6ac, 67a423a3, 9dfd6313, a416b8f3, aedd82e4, c59eb873, f9012d9b"
23x23,10,"06df4c85, 5c2c9af4, 7b6016b9, 7df24a62"
3x6,10,"7b7f7511, b190f7f5, b1948b0a, c8f0f002, dae9d2b5"
17x17,9,"1e32b0e9, 32597951, 7f4411dc, 8a004b2b, ce602527"
4x14,9,"995c5fa3, cf98881b"
6x3,8,"017c7c7b, fafffa47"
12x11,8,"253bf280, 50cb2852, b2862040, b94a9452, c8cbb738, d4a91cb9, e21d9049"
12x14,8,"272f95fa, 3de23699, 4938f0c2, a2fd1cf0, c1d99e64, c8cbb738, d07ae81c, e8dc4411"
19x19,7,"83302e8f, 9d9215db, 9f236235, c444b776"
24x24,6,"39e1d7f9, 83302e8f, c909285e, ff805c23"
15x17,6,"6cdd2623, 7468f01a, b9b7f026, ce602527, e73095fd, f1cefba8"
3x5,6,"746b3537, a9f96cdd, c8f0f002"
29x29,6,"484b58aa, 7837ac64, 83302e8f"
10x8,6,"178fcbfb, 82819916, 88a10436, 97999447, c8cbb738"
10x15,6,"23b5c85d, 25d487eb, 6a1e5592, 7468f01a, d687bc17"
15x16,6,"1a07d186, 36fdfd69, 6455b5f5, 9aec4887, b27ca6d3, fcb5c309"
16x18,6,"57aa92db, 80af3007, 8a004b2b, f1cefba8"
8x9,5,"025d127b, 150deff5, a65b410d, ce9e57f2, dbc1a6ce"
5x6,5,"253bf280, 67385a82, 6f8cd79b, 963e52fc, b0c4d837"
14x12,5,"2c608aff, 447fd412, e509e548"
13x16,5,"1c786137, 7e0986d6, e73095fd, f8b3ba0a, fcb5c309"
10x12,5,"1cf80156, 2c608aff, 8eb1be9a, 97999447, d4a91cb9"
15x14,5,"1a07d186, 36fdfd69, 928ad970, e21d9049, e26a3af2"
27x27,5,"1190e5a7, 39e1d7f9, 7837ac64"
9x3,5,"662c240a, a87f7484"
7x9,5,"a65b410d, ba97ae07, be94b721, ce9e57f2, d9fac9be"
10x4,5,"a3df8b1e, bd4472b8, e179c5f4, f25ffba3"
12x13,5,"50cb2852, 928ad970, b2862040, b94a9452"
4x7,5,f2829549
1x5,5,feca6190
11x12,4,"1cf80156, 4347f46a, 50846271, d9fac9be"
2x2,4,"46442a0e, 49d1d64f, c59eb873, f5b8619d"
9x13,4,"363442ee, 4612dd53"
13x5,4,3428a4f5
5x10,4,"1caeab9d, 53b68214, be94b721"
6x7,4,"239be575, 3ac3eb23"
17x18,4,"1c786137, 36fdfd69, 57aa92db, 8a004b2b"
18x19,4,"0b148d64, 1a07d186, 272f95fa, 50846271"
14x15,4,"0e206a2e, 5daaa586, 855e0971, b2862040"
13x15,4,"23b5c85d, 50cb2852, 855e0971, e8dc4411"
4x3,4,"6f8cd79b, 9af7a82c, a416b8f3"
10x9,4,"dbc1a6ce, e3497940"
7x8,4,"56ff96f3, 6d75e8bb, 97999447, db3e9e38"
20x10,4,"40853293, 673ef223, 97a05b5b"
10x11,4,"178fcbfb, 253bf280, dbc1a6ce, e509e548"
8x4,4,94f9d214
10x3,3,"496994bd, a3df8b1e, e179c5f4"
13x14,3,"7e0986d6, b782dc8a, e26a3af2"
1x6,3,bbc9ae5d
16x17,3,"8731374e, b9b7f026, de1cd16c"
15x19,3,"855e0971, 8eb1be9a, 98cf29f8"
15x10,3,90f3ed37
5x15,3,d8c310e9
6x9,3,760b3cac
3x2,3,8d5021e8
14x10,3,"6d75e8bb, b7249182, f15e1fac"
3x7,3,0520fde7
8x7,3,"4347f46a, 88a10436, ba97ae07"
7x13,3,"253bf280, 5168d44c, be94b721"
7x6,3,"253bf280, a740d043, d90796e8"
3x10,3,"7447852a, ba26e723, d406998b"
11x13,3,"3f7978a0, 4612dd53, 6455b5f5"
9x11,3,"150deff5, 3f7978a0, b2862040"
2x6,3,"2dee498d, e9afcf9a"
12x18,2,"3de23699, 42a50994"
13x17,2,"4290ef0e, e26a3af2"
4x20,2,3eda0437
3x9,2,"234bbc79, 2dee498d"
19x17,2,"0b148d64, ce602527"
14x9,2,"025d127b, 05f2a901"
9x10,2,"05f2a901, a1570a43"
16x14,2,"0e206a2e, a8c38be5"
3x12,2,"a87f7484, d406998b"
3x14,2,"ba26e723, d406998b"
13x18,2,"98cf29f8, ecdecbb3"
5x4,2,"6f8cd79b, aedd82e4"
6x4,2,"746b3537, b1948b0a"
22x25,2,"7b6016b9, eb5a1d5d"
12x16,2,"7468f01a, e8dc4411"
17x5,2,56dc2b01
17x14,2,"98cf29f8, f35d900a"
15x13,2,"928ad970, b9b7f026"
3x13,2,"ba26e723, d406998b"
10x2,2,"a3df8b1e, e179c5f4"
17x12,2,"ecdecbb3, f15e1fac"
17x16,2,f35d900a
12x19,2,"c1d99e64, e73095fd"
10x16,2,"a2fd1cf0, e6721834"
16x12,2,"57aa92db, 97a05b5b"
22x22,2,"5daaa586, 6ecd11f4"
11x9,2,"4be741c5, d9fac9be"
21x22,2,"6aa20dc0, eb5a1d5d"
15x18,2,"57aa92db, b27ca6d3"
14x16,2,"4be741c5, 9aec4887"
6x10,2,"3ac3eb23, 53b68214"
5x11,2,29c11459
5x3,2,"10fcaaa3, dc433765"
14x18,2,"0e206a2e, 2c608aff"
18x15,2,"23b5c85d, 8e1813be"
8x10,2,"150deff5, 53b68214"
3x15,2,"7447852a, a87f7484"
9x8,2,"6d75e8bb, a1570a43"
13x12,2,"72322fa7, b548a754"
6x11,2,"56ff96f3, be94b721"
4x8,2,"7b7f7511, b190f7f5"
6x2,2,"7b7f7511, bd4472b8"
20x30,1,4938f0c2
11x19,1,42a50994
16x11,1,42a50994
3x30,1,3eda0437
17x9,1,42a50994
18x16,1,4347f46a
4x12,1,2dee498d
8x30,1,3bdb4ada
8x20,1,3bdb4ada
9x12,1,2c608aff
12x9,1,3de23699
23x21,1,1c786137
9x6,1,253bf280
15x12,1,25d487eb
24x8,1,0a938d79
22x9,1,0a938d79
11x10,1,05f2a901
10x25,1,0a938d79
7x23,1,0a938d79
2x4,1,10fcaaa3
2x20,1,3eda0437
30x20,1,40853293
19x22,1,6b9890af
18x21,1,6b9890af
20x21,1,6aa20dc0
20x19,1,6aa20dc0
4x6,1,67385a82
19x8,1,673ef223
18x13,1,6455b5f5
11x16,1,6455b5f5
6x8,1,82819916
12x8,1,82819916
24x21,1,7b6016b9
23x17,1,780d0b14
18x22,1,780d0b14
4x2,1,746b3537
14x19,1,72322fa7
3x18,1,7447852a
27x25,1,6ecd11f4
27x21,1,6ecd11f4
11x22,1,6cdd2623
13x20,1,6cdd2623
21x24,1,6b9890af
13x22,1,72322fa7
10x5,1,496994bd
9x7,1,4be741c5
7x11,1,54d9e175
13x7,1,5168d44c
4x16,1,56dc2b01
20x22,1,50846271
2x3,1,49d1d64f
22x23,1,5ad4f10b
24x23,1,5ad4f10b
20x24,1,5ad4f10b
10x18,1,b7249182
7x5,1,99fa7670
5x8,1,963e52fc
24x19,1,97a05b5b
27x23,1,8731374e
17x23,1,8731374e
14x13,1,855e0971
12x10,1,8e1813be
8x3,1,bd4472b8
1x10,1,bbc9ae5d
1x8,1,bbc9ae5d
8x6,1,ba97ae07
11x24,1,b782dc8a
12x3,1,a87f7484
10x13,1,b7249182
10x7,1,beb8660c
19x12,1,d07ae81c
28x28,1,c909285e
16x10,1,d0f5fe59
8x12,1,d0f5fe59
19x9,1,c444b776
26x26,1,c909285e
7x4,1,beb8660c
17x15,1,c1d99e64
5x9,1,d9fac9be
14x11,1,d687bc17
12x6,1,d10ecb37
8x11,1,d4a91cb9
4x5,1,dc1df850
17x13,1,de1cd16c
16x15,1,de1cd16c
16x19,1,de1cd16c
3x17,1,eb281b96
11x20,1,e6721834
30x17,1,e6721834
19x21,1,e509e548
19x13,1,f1cefba8
23x27,1,eb5a1d5d
4x17,1,eb281b96
13x10,1,f8b3ba0a
