Transition,Count
15x17 -> 1x1,1
8x6 -> 8x6,1
1x8 -> 4x8,1
1x10 -> 5x10,1
8x3 -> 8x3,1
6x2 -> 6x2,1
7x13 -> 4x3,1
8x10 -> 8x10,1
23x21 -> 6x8,1
13x16 -> 5x3,1
17x18 -> 8x10,1
10x12 -> 4x4,1
11x12 -> 5x3,1
12x12 -> 3x5,1
5x10 -> 3x2,1
6x11 -> 4x3,1
7x9 -> 3x3,1
10x7 -> 10x7,1
7x4 -> 7x4,1
17x15 -> 17x15,1
19x9 -> 19x9,1
12x11 -> 5x5,1
10x8 -> 3x3,1
12x14 -> 5x5,1
24x24 -> 7x7,1
26x26 -> 7x7,1
28x28 -> 7x7,1
17x17 -> 5x5,1
18x18 -> 5x3,1
19x17 -> 5x3,1
15x17 -> 3x5,1
19x12 -> 19x12,1
16x10 -> 4x4,1
12x12 -> 3x3,1
8x12 -> 2x2,1
8x8 -> 2x2,1
12x6 -> 2x2,1
3x12 -> 3x12,1
8x11 -> 8x11,1
3x3 -> 1x2,1
3x3 -> 1x4,1
14x11 -> 14x11,1
5x9 -> 1x1,1
7x9 -> 1x1,1
11x9 -> 1x1,1
11x12 -> 1x1,1
10x9 -> 10x9,1
4x5 -> 4x5,1
5x3 -> 5x3,1
17x13 -> 1x1,1
16x15 -> 1x1,1
16x19 -> 1x1,1
13x17 -> 13x17,1
19x21 -> 19x21,1
10x10 -> 5x4,1
10x10 -> 6x4,1
21x21 -> 10x10,1
18x19 -> 7x9,1
19x17 -> 9x6,1
16x14 -> 16x14,1
2x4 -> 4x8,1
5x3 -> 10x6,1
15x15 -> 2x4,1
11x11 -> 3x2,1
27x27 -> 6x5,1
30x17 -> 15x17,1
11x20 -> 11x10,1
10x16 -> 10x8,1
12x16 -> 12x16,1
3x17 -> 9x17,1
4x17 -> 13x17,1
23x27 -> 5x5,1
22x25 -> 3x3,1
21x22 -> 7x7,1
19x13 -> 19x13,1
9x9 -> 6x8,1
9x9 -> 8x6,1
