Dimension,Count,Keys
30x30 -> 30x30,11,"264363fd, 3631a71a, a64e4611, b775ac94"
23x23 -> 23x23,10,"06df4c85, 5c2c9af4, 7b6016b9, 7df24a62"
5x5 -> 3x3,9,"d4469b4b, ff28f65a"
11x11 -> 3x3,8,"137eaa0f, 6773b310, 9f236235"
3x11 -> 3x11,8,"54d9e175, 8e5a5113, ba26e723"
3x3 -> 3x6,8,"6d0aefbc, a416b8f3, c9e6f938"
3x3 -> 6x3,7,"6fa7a44f, 8be77c9e"
18x18 -> 18x18,7,"29ec7d0e, a8d7556c"
14x14 -> 14x14,7,"4093f84a, 4c5c2cf0, b775ac94, f35d900a"
8x8 -> 4x4,7,"75b8110e, 77fdfe62"
17x17 -> 17x17,7,"1e32b0e9, 32597951, 7f4411dc"
7x7 -> 3x3,7,"2dc579da, 3de23699, b0c4d837, ff28f65a"
3x6 -> 3x3,6,"7b7f7511, dae9d2b5"
9x9 -> 4x4,6,a68b268e
5x7 -> 3x3,6,"a740d043, bc1d5164"
12x14 -> 12x14,6,"272f95fa, 4938f0c2, a2fd1cf0, c1d99e64, d07ae81c, e8dc4411"
12x11 -> 12x11,6,"253bf280, 50cb2852, b2862040, d4a91cb9, e21d9049"
4x4 -> 4x4,6,"1e0a9b12, 67385a82, 67a3c6ac, 67a423a3, 9dfd6313, aedd82e4"
4x14 -> 4x4,5,cf98881b
10x4 -> 10x4,5,"a3df8b1e, bd4472b8, e179c5f4, f25ffba3"
5x5 -> 2x2,5,"2dc579da, 88a62173, f9012d9b"
10x8 -> 10x8,5,"178fcbfb, 82819916, 88a10436, 97999447"
19x19 -> 19x19,5,"83302e8f, 9d9215db, c444b776"
14x12 -> 14x12,5,"2c608aff, 447fd412, e509e548"
3x5 -> 3x5,5,"a9f96cdd, c8f0f002"
6x3 -> 3x3,5,fafffa47
8x9 -> 8x9,5,"025d127b, 150deff5, a65b410d, ce9e57f2, dbc1a6ce"
9x3 -> 3x3,5,"662c240a, a87f7484"
3x4 -> 6x4,5,"4c4377d9, 9af7a82c"
5x7 -> 5x3,5,1b2d62fb
15x14 -> 15x14,5,"1a07d186, 36fdfd69, 928ad970, e21d9049, e26a3af2"
4x7 -> 4x3,5,f2829549
3x4 -> 6x8,4,"10fcaaa3, 3af2c5a8"
7x8 -> 7x8,4,"56ff96f3, 6d75e8bb, 97999447, db3e9e38"
5x5 -> 10x10,4,"469497ad, 539a4f51"
10x12 -> 10x12,4,"2c608aff, 8eb1be9a, 97999447, d4a91cb9"
10x11 -> 10x11,4,"178fcbfb, 253bf280, dbc1a6ce, e509e548"
4x14 -> 3x3,4,995c5fa3
15x16 -> 15x16,4,"1a07d186, 36fdfd69, 6455b5f5, b27ca6d3"
13x5 -> 6x5,4,3428a4f5
8x4 -> 4x4,4,94f9d214
10x15 -> 10x15,4,"25d487eb, 6a1e5592, d687bc17"
9x13 -> 9x13,4,"363442ee, 4612dd53"
9x9 -> 6x6,4,"7c008303, f25fbde4"
29x29 -> 29x29,4,"484b58aa, 83302e8f"
10x10 -> 2x2,4,"445eab21, 72ca375d"
2x2 -> 4x4,4,"46442a0e, 49d1d64f, c59eb873, f5b8619d"
11x11 -> 5x11,3,e98196ab
24x24 -> 5x5,3,ff805c23
16x16 -> 5x5,3,dc0a314f
5x15 -> 5x15,3,d8c310e9
6x3 -> 9x3,3,017c7c7b
3x7 -> 3x3,3,0520fde7
12x12 -> 3x1,3,f8ff0b80
13x15 -> 13x15,3,"50cb2852, 855e0971, e8dc4411"
12x13 -> 12x13,3,"50cb2852, 928ad970, b2862040"
13x13 -> 3x3,3,5117e062
14x15 -> 14x15,3,"0e206a2e, 855e0971, b2862040"
10x9 -> 10x4,3,e3497940
18x19 -> 18x19,3,"1a07d186, 272f95fa, 50846271"
1x6 -> 3x6,3,bbc9ae5d
3x2 -> 9x4,3,8d5021e8
14x14 -> 3x3,3,39a8645d
15x19 -> 15x19,3,"855e0971, 8eb1be9a, 98cf29f8"
5x6 -> 5x6,3,"253bf280, 67385a82, 6f8cd79b"
9x9 -> 1x5,3,1fad071e
6x7 -> 1x1,3,239be575
15x10 -> 15x10,3,90f3ed37
8x8 -> 3x6,3,28bf18c6
16x16 -> 3x3,3,9ecd008a
7x9 -> 7x9,3,"a65b410d, ba97ae07, ce9e57f2"
13x14 -> 13x14,3,"7e0986d6, b782dc8a, e26a3af2"
16x18 -> 9x9,3,80af3007
10x3 -> 10x3,3,"496994bd, a3df8b1e, e179c5f4"
10x10 -> 20x20,3,46f33fce
8x7 -> 8x7,3,"4347f46a, 88a10436, ba97ae07"
14x10 -> 14x10,3,"6d75e8bb, b7249182, f15e1fac"
15x17 -> 15x17,3,"6cdd2623, e73095fd, f1cefba8"
3x10 -> 3x10,3,"7447852a, ba26e723, d406998b"
6x9 -> 6x9,3,760b3cac
20x10 -> 20x10,3,"40853293, 673ef223"
17x12 -> 17x12,2,"ecdecbb3, f15e1fac"
2x6 -> 2x6,2,e9afcf9a
12x19 -> 12x19,2,"c1d99e64, e73095fd"
9x11 -> 9x11,2,"150deff5, b2862040"
4x4 -> 8x8,2,"10fcaaa3, c59eb873"
14x18 -> 14x18,2,"0e206a2e, 2c608aff"
3x14 -> 3x14,2,"ba26e723, d406998b"
5x10 -> 5x10,2,1caeab9d
3x4 -> 3x4,2,"b1948b0a, c8f0f002"
3x6 -> 3x6,2,"b1948b0a, c8f0f002"
3x13 -> 3x13,2,"ba26e723, d406998b"
16x17 -> 1x1,2,"b9b7f026, de1cd16c"
3x11 -> 3x9,2,234bbc79
13x13 -> 4x4,2,a61ba2ce
19x19 -> 4x4,2,9f236235
10x2 -> 10x2,2,"a3df8b1e, e179c5f4"
13x18 -> 13x18,2,"98cf29f8, ecdecbb3"
17x14 -> 17x14,2,"98cf29f8, f35d900a"
3x3 -> 15x15,2,"91413438, ac0a08a4"
3x3 -> 12x12,2,"91413438, b91ae062"
17x18 -> 17x18,2,"36fdfd69, 57aa92db"
5x11 -> 5x11,2,29c11459
7x6 -> 7x6,2,"253bf280, d90796e8"
7x13 -> 7x13,2,"253bf280, 5168d44c"
27x27 -> 27x27,2,39e1d7f9
24x24 -> 24x24,2,"39e1d7f9, 83302e8f"
6x6 -> 3x3,2,"b0c4d837, ff28f65a"
3x6 -> 9x9,2,b190f7f5
13x16 -> 13x16,2,"7e0986d6, e73095fd"
27x27 -> 3x3,2,7837ac64
6x6 -> 2x2,2,"77fdfe62, d10ecb37"
4x20 -> 4x20,2,3eda0437
3x3 -> 1x3,2,"746b3537, d631b094"
10x10 -> 2x4,2,72ca375d
5x4 -> 5x4,2,"6f8cd79b, aedd82e4"
9x8 -> 9x8,2,"6d75e8bb, a1570a43"
11x13 -> 11x13,2,"4612dd53, 6455b5f5"
11x12 -> 11x12,2,"4347f46a, 50846271"
13x12 -> 13x12,2,"72322fa7, b548a754"
29x29 -> 3x3,2,7837ac64
15x18 -> 15x18,2,"57aa92db, b27ca6d3"
17x5 -> 17x5,2,56dc2b01
1x5 -> 15x15,2,feca6190
5x7 -> 5x7,2,"54d82841, db3e9e38"
16x18 -> 16x18,2,"57aa92db, f1cefba8"
1x5 -> 5x5,2,feca6190
17x16 -> 17x16,2,f35d900a
13x13 -> 3x1,2,f8b3ba0a
9x10 -> 9x10,2,"05f2a901, a1570a43"
14x9 -> 14x9,2,"025d127b, 05f2a901"
11x10 -> 11x10,1,05f2a901
10x25 -> 10x25,1,0a938d79
7x23 -> 7x23,1,0a938d79
22x9 -> 22x9,1,0a938d79
24x8 -> 24x8,1,0a938d79
6x6 -> 12x12,1,f5b8619d
13x16 -> 3x1,1,f8b3ba0a
13x10 -> 3x1,1,f8b3ba0a
4x4 -> 1x1,1,f9012d9b
7x7 -> 2x2,1,f9012d9b
13x13 -> 7x7,1,fcb5c309
13x16 -> 6x7,1,fcb5c309
15x16 -> 7x7,1,fcb5c309
1x5 -> 10x10,1,feca6190
13x7 -> 13x7,1,5168d44c
6x10 -> 10x10,1,53b68214
5x10 -> 10x10,1,53b68214
8x10 -> 10x10,1,53b68214
7x11 -> 7x11,1,54d9e175
4x16 -> 4x16,1,56dc2b01
6x11 -> 6x11,1,56ff96f3
16x12 -> 16x12,1,57aa92db
20x24 -> 3x3,1,5ad4f10b
22x23 -> 3x3,1,5ad4f10b
24x23 -> 3x3,1,5ad4f10b
22x22 -> 15x12,1,5daaa586
12x12 -> 8x8,1,5daaa586
14x15 -> 6x9,1,5daaa586
18x13 -> 18x13,1,6455b5f5
11x16 -> 11x16,1,6455b5f5
4x6 -> 4x6,1,67385a82
19x8 -> 19x8,1,673ef223
20x19 -> 20x19,1,6aa20dc0
20x21 -> 20x21,1,6aa20dc0
5x5 -> 20x20,1,469497ad
11x11 -> 10x10,1,47c1f68c
9x9 -> 8x8,1,47c1f68c
7x7 -> 6x6,1,47c1f68c
20x30 -> 20x30,1,4938f0c2
10x5 -> 10x5,1,496994bd
2x3 -> 4x5,1,49d1d64f
3x3 -> 5x5,1,49d1d64f
14x16 -> 1x3,1,4be741c5
9x7 -> 3x1,1,4be741c5
11x9 -> 4x1,1,4be741c5
20x22 -> 20x22,1,50846271
21x22 -> 21x22,1,6aa20dc0
18x21 -> 8x8,1,6b9890af
19x22 -> 5x5,1,6b9890af
21x24 -> 11x11,1,6b9890af
11x22 -> 11x22,1,6cdd2623
13x20 -> 13x20,1,6cdd2623
27x21 -> 3x3,1,6ecd11f4
27x25 -> 3x3,1,6ecd11f4
22x22 -> 4x4,1,6ecd11f4
4x3 -> 4x3,1,6f8cd79b
13x17 -> 7x7,1,4290ef0e
18x18 -> 7x7,1,4290ef0e
18x18 -> 11x11,1,4290ef0e
16x11 -> 16x11,1,42a50994
12x18 -> 12x18,1,42a50994
11x19 -> 11x19,1,42a50994
17x9 -> 17x9,1,42a50994
18x16 -> 18x16,1,4347f46a
5x5 -> 15x15,1,469497ad
13x22 -> 13x22,1,72322fa7
14x19 -> 14x19,1,72322fa7
3x15 -> 3x15,1,7447852a
3x18 -> 3x18,1,7447852a
10x15 -> 4x8,1,7468f01a
12x16 -> 5x5,1,7468f01a
15x17 -> 4x6,1,7468f01a
3x3 -> 3x1,1,746b3537
3x5 -> 1x4,1,746b3537
4x2 -> 3x1,1,746b3537
6x4 -> 4x1,1,746b3537
20x20 -> 2x2,1,780d0b14
18x22 -> 2x3,1,780d0b14
23x17 -> 3x2,1,780d0b14
22x25 -> 22x25,1,7b6016b9
24x21 -> 24x21,1,7b6016b9
4x8 -> 4x4,1,7b7f7511
6x2 -> 3x2,1,7b7f7511
6x10 -> 6x10,1,3ac3eb23
6x7 -> 6x7,1,3ac3eb23
8x30 -> 8x30,1,3bdb4ada
8x20 -> 8x20,1,3bdb4ada
12x9 -> 3x5,1,3de23699
12x14 -> 4x4,1,3de23699
12x18 -> 4x8,1,3de23699
3x30 -> 3x30,1,3eda0437
2x20 -> 2x20,1,3eda0437
9x9 -> 5x5,1,3f7978a0
9x11 -> 5x7,1,3f7978a0
11x13 -> 6x5,1,3f7978a0
30x20 -> 30x20,1,40853293
12x8 -> 12x8,1,82819916
6x8 -> 6x8,1,82819916
13x13 -> 6x8,1,846bdb03
13x13 -> 7x8,1,846bdb03
13x13 -> 4x6,1,846bdb03
13x13 -> 5x6,1,846bdb03
14x13 -> 14x13,1,855e0971
17x23 -> 7x6,1,8731374e
27x23 -> 10x9,1,8731374e
16x17 -> 6x8,1,8731374e
17x17 -> 9x14,1,8a004b2b
17x18 -> 7x7,1,8a004b2b
16x18 -> 11x11,1,8a004b2b
18x15 -> 6x6,1,8e1813be
12x10 -> 3x3,1,8e1813be
12x12 -> 4x4,1,8e1813be
20x20 -> 5x6,1,8efcae92
20x20 -> 9x9,1,8efcae92
20x20 -> 5x17,1,8efcae92
21x21 -> 3x3,1,90c28cc7
21x21 -> 2x2,1,90c28cc7
21x21 -> 3x2,1,90c28cc7
3x3 -> 18x18,1,91413438
15x13 -> 15x13,1,928ad970
5x6 -> 5x12,1,963e52fc
9x12 -> 9x12,1,2c608aff
11x11 -> 5x5,1,2dc579da
3x9 -> 3x3,1,2dee498d
4x12 -> 4x4,1,2dee498d
2x6 -> 2x2,1,2dee498d
9x6 -> 9x6,1,253bf280
15x12 -> 15x12,1,25d487eb
5x7 -> 5x14,1,963e52fc
5x8 -> 5x16,1,963e52fc
24x19 -> 17x9,1,97a05b5b
20x10 -> 8x8,1,97a05b5b
16x12 -> 9x9,1,97a05b5b
7x5 -> 7x5,1,99fa7670
15x16 -> 6x6,1,9aec4887
14x16 -> 5x5,1,9aec4887
15x15 -> 6x6,1,9aec4887
3x3 -> 5x3,1,9af7a82c
4x3 -> 5x4,1,9af7a82c
4x3 -> 6x3,1,9af7a82c
10x16 -> 10x16,1,a2fd1cf0
10x10 -> 5x3,1,a3325580
10x10 -> 9x2,1,a3325580
10x10 -> 5x1,1,a3325580
10x10 -> 3x1,1,a3325580
10x10 -> 3x2,1,a3325580
4x3 -> 4x6,1,a416b8f3
4x4 -> 4x8,1,a416b8f3
7x7 -> 2x3,1,a740d043
30x30 -> 5x3,1,1f85a75f
30x30 -> 3x3,1,1f85a75f
3x9 -> 3x7,1,234bbc79
3x11 -> 3x8,1,234bbc79
5x5 -> 1x1,1,239be575
5x7 -> 1x1,1,239be575
6x6 -> 1x1,1,239be575
20x20 -> 2x3,1,23b5c85d
10x15 -> 3x2,1,23b5c85d
13x15 -> 3x4,1,23b5c85d
18x15 -> 2x2,1,23b5c85d
7x6 -> 3x2,1,a740d043
3x12 -> 3x3,1,a87f7484
3x15 -> 3x3,1,a87f7484
12x3 -> 3x3,1,a87f7484
14x14 -> 9x9,1,a8c38be5
16x14 -> 9x9,1,a8c38be5
5x6 -> 3x3,1,b0c4d837
4x8 -> 16x16,1,b190f7f5
6x4 -> 6x4,1,b1948b0a
10x13 -> 10x13,1,b7249182
10x18 -> 10x18,1,b7249182
11x24 -> 11x24,1,b782dc8a
12x13 -> 4x4,1,b94a9452
12x11 -> 3x3,1,b94a9452
12x13 -> 5x5,1,b94a9452
15x13 -> 1x1,1,b9b7f026
15x17 -> 1x1,1,b9b7f026
8x6 -> 8x6,1,ba97ae07
1x8 -> 4x8,1,bbc9ae5d
1x10 -> 5x10,1,bbc9ae5d
8x3 -> 8x3,1,bd4472b8
6x2 -> 6x2,1,bd4472b8
7x13 -> 4x3,1,be94b721
8x10 -> 8x10,1,150deff5
23x21 -> 6x8,1,1c786137
13x16 -> 5x3,1,1c786137
17x18 -> 8x10,1,1c786137
10x12 -> 4x4,1,1cf80156
11x12 -> 5x3,1,1cf80156
12x12 -> 3x5,1,1cf80156
5x10 -> 3x2,1,be94b721
6x11 -> 4x3,1,be94b721
7x9 -> 3x3,1,be94b721
10x7 -> 10x7,1,beb8660c
7x4 -> 7x4,1,beb8660c
17x15 -> 17x15,1,c1d99e64
19x9 -> 19x9,1,c444b776
12x11 -> 5x5,1,c8cbb738
10x8 -> 3x3,1,c8cbb738
12x14 -> 5x5,1,c8cbb738
24x24 -> 7x7,1,c909285e
26x26 -> 7x7,1,c909285e
28x28 -> 7x7,1,c909285e
17x17 -> 5x5,1,ce602527
18x18 -> 5x3,1,ce602527
19x17 -> 5x3,1,ce602527
15x17 -> 3x5,1,ce602527
19x12 -> 19x12,1,d07ae81c
16x10 -> 4x4,1,d0f5fe59
12x12 -> 3x3,1,d0f5fe59
8x12 -> 2x2,1,d0f5fe59
8x8 -> 2x2,1,d10ecb37
12x6 -> 2x2,1,d10ecb37
3x12 -> 3x12,1,d406998b
8x11 -> 8x11,1,d4a91cb9
3x3 -> 1x2,1,d631b094
3x3 -> 1x4,1,d631b094
14x11 -> 14x11,1,d687bc17
5x9 -> 1x1,1,d9fac9be
7x9 -> 1x1,1,d9fac9be
11x9 -> 1x1,1,d9fac9be
11x12 -> 1x1,1,d9fac9be
10x9 -> 10x9,1,dbc1a6ce
4x5 -> 4x5,1,dc1df850
5x3 -> 5x3,1,dc433765
17x13 -> 1x1,1,de1cd16c
16x15 -> 1x1,1,de1cd16c
16x19 -> 1x1,1,de1cd16c
13x17 -> 13x17,1,e26a3af2
19x21 -> 19x21,1,e509e548
10x10 -> 5x4,1,e50d258f
10x10 -> 6x4,1,e50d258f
21x21 -> 10x10,1,0b148d64
18x19 -> 7x9,1,0b148d64
19x17 -> 9x6,1,0b148d64
16x14 -> 16x14,1,0e206a2e
2x4 -> 4x8,1,10fcaaa3
5x3 -> 10x6,1,10fcaaa3
15x15 -> 2x4,1,1190e5a7
11x11 -> 3x2,1,1190e5a7
27x27 -> 6x5,1,1190e5a7
30x17 -> 15x17,1,e6721834
11x20 -> 11x10,1,e6721834
10x16 -> 10x8,1,e6721834
12x16 -> 12x16,1,e8dc4411
3x17 -> 9x17,1,eb281b96
4x17 -> 13x17,1,eb281b96
23x27 -> 5x5,1,eb5a1d5d
22x25 -> 3x3,1,eb5a1d5d
21x22 -> 7x7,1,eb5a1d5d
19x13 -> 19x13,1,f1cefba8
9x9 -> 6x8,1,f25fbde4
9x9 -> 8x6,1,f25fbde4
