Dimension,Count,Keys
18x18,8,"29ec7d0e, 91413438, a8d7556c"
3x11,8,"54d9e175, 8e5a5113, ba26e723"
4x3,8,"6f8cd79b, be94b721, f2829549"
6x3,8,"6fa7a44f, 8be77c9e, 9af7a82c"
3x2,8,"1190e5a7, 23b5c85d, 780d0b14, 7b7f7511, 90c28cc7, a3325580, a740d043, be94b721"
3x5,8,"1cf80156, 3de23699, a9f96cdd, c8f0f002, ce602527"
10x4,8,"a3df8b1e, bd4472b8, e179c5f4, e3497940, f25ffba3"
17x17,7,"1e32b0e9, 32597951, 7f4411dc"
14x14,7,"4093f84a, 4c5c2cf0, b775ac94, f35d900a"
6x4,7,"4c4377d9, 9af7a82c, b1948b0a, e50d258f"
6x5,6,"1190e5a7, 3428a4f5, 3f7978a0"
12x11,6,"253bf280, 50cb2852, b2862040, d4a91cb9, e21d9049"
12x14,6,"272f95fa, 4938f0c2, a2fd1cf0, c1d99e64, d07ae81c, e8dc4411"
10x8,6,"178fcbfb, 82819916, 88a10436, 97999447, e6721834"
5x6,5,"253bf280, 67385a82, 6f8cd79b, 846bdb03, 8efcae92"
14x12,5,"2c608aff, 447fd412, e509e548"
5x11,5,"29c11459, e98196ab"
19x19,5,"83302e8f, 9d9215db, c444b776"
7x8,5,"56ff96f3, 6d75e8bb, 846bdb03, 97999447, db3e9e38"
15x14,5,"1a07d186, 36fdfd69, 928ad970, e21d9049, e26a3af2"
4x8,5,"10fcaaa3, 3de23699, 7468f01a, a416b8f3, bbc9ae5d"
8x9,5,"025d127b, 150deff5, a65b410d, ce9e57f2, dbc1a6ce"
4x6,4,"67385a82, 7468f01a, 846bdb03, a416b8f3"
15x16,4,"1a07d186, 36fdfd69, 6455b5f5, b27ca6d3"
10x15,4,"25d487eb, 6a1e5592, d687bc17"
10x11,4,"178fcbfb, 253bf280, dbc1a6ce, e509e548"
7x9,4,"0b148d64, a65b410d, ba97ae07, ce9e57f2"
15x17,4,"6cdd2623, e6721834, e73095fd, f1cefba8"
9x13,4,"363442ee, 4612dd53"
6x9,4,"5daaa586, 760b3cac"
5x4,4,"6f8cd79b, 9af7a82c, aedd82e4, e50d258f"
29x29,4,"484b58aa, 83302e8f"
10x12,4,"2c608aff, 8eb1be9a, 97999447, d4a91cb9"
14x15,3,"0e206a2e, 855e0971, b2862040"
7x6,3,"253bf280, 8731374e, d90796e8"
2x3,3,"23b5c85d, 780d0b14, a740d043"
18x19,3,"1a07d186, 272f95fa, 50846271"
3x4,3,"23b5c85d, b1948b0a, c8f0f002"
14x10,3,"6d75e8bb, b7249182, f15e1fac"
5x15,3,d8c310e9
9x4,3,8d5021e8
15x10,3,90f3ed37
2x4,3,"1190e5a7, 72ca375d"
1x5,3,1fad071e
5x7,3,"3f7978a0, 54d82841, db3e9e38"
10x3,3,"496994bd, a3df8b1e, e179c5f4"
3x10,3,"7447852a, ba26e723, d406998b"
15x19,3,"855e0971, 8eb1be9a, 98cf29f8"
13x14,3,"7e0986d6, b782dc8a, e26a3af2"
20x10,3,"40853293, 673ef223"
8x7,3,"4347f46a, 88a10436, ba97ae07"
1x3,3,"4be741c5, 746b3537, d631b094"
12x13,3,"50cb2852, 928ad970, b2862040"
13x15,3,"50cb2852, 855e0971, e8dc4411"
5x10,3,"1caeab9d, bbc9ae5d"
9x3,3,017c7c7b
14x9,2,"025d127b, 05f2a901"
11x10,2,"05f2a901, e6721834"
4x1,2,"4be741c5, 746b3537"
17x5,2,56dc2b01
16x18,2,"57aa92db, f1cefba8"
15x18,2,"57aa92db, b27ca6d3"
9x6,2,"0b148d64, 253bf280"
14x18,2,"0e206a2e, 2c608aff"
15x12,2,"25d487eb, 5daaa586"
7x13,2,"253bf280, 5168d44c"
3x9,2,234bbc79
8x10,2,"150deff5, 1c786137"
9x11,2,"150deff5, b2862040"
9x10,2,"05f2a901, a1570a43"
13x12,2,"72322fa7, b548a754"
13x18,2,"98cf29f8, ecdecbb3"
1x4,2,"746b3537, d631b094"
13x16,2,"7e0986d6, e73095fd"
4x5,2,"49d1d64f, dc1df850"
9x8,2,"6d75e8bb, a1570a43"
3x14,2,"ba26e723, d406998b"
3x13,2,"ba26e723, d406998b"
13x17,2,"e26a3af2, eb281b96"
2x6,2,e9afcf9a
17x12,2,"ecdecbb3, f15e1fac"
10x2,2,"a3df8b1e, e179c5f4"
12x19,2,"c1d99e64, e73095fd"
8x6,2,"ba97ae07, f25fbde4"
17x16,2,f35d900a
10x9,2,"8731374e, dbc1a6ce"
17x14,2,"98cf29f8, f35d900a"
17x9,2,"42a50994, 97a05b5b"
11x12,2,"4347f46a, 50846271"
4x20,2,3eda0437
27x27,2,39e1d7f9
6x7,2,"3ac3eb23, fcb5c309"
24x24,2,"39e1d7f9, 83302e8f"
17x18,2,"36fdfd69, 57aa92db"
11x13,2,"4612dd53, 6455b5f5"
3x7,1,234bbc79
10x25,1,0a938d79
7x23,1,0a938d79
22x9,1,0a938d79
24x8,1,0a938d79
16x14,1,0e206a2e
10x6,1,10fcaaa3
3x8,1,234bbc79
13x20,1,6cdd2623
21x22,1,6aa20dc0
11x22,1,6cdd2623
19x8,1,673ef223
20x19,1,6aa20dc0
18x13,1,6455b5f5
11x16,1,6455b5f5
6x11,1,56ff96f3
16x12,1,57aa92db
20x30,1,4938f0c2
20x21,1,6aa20dc0
13x7,1,5168d44c
20x22,1,50846271
7x11,1,54d9e175
4x16,1,56dc2b01
8x20,1,3bdb4ada
30x20,1,40853293
3x30,1,3eda0437
2x20,1,3eda0437
16x11,1,42a50994
8x30,1,3bdb4ada
6x10,1,3ac3eb23
9x12,1,2c608aff
12x18,1,42a50994
18x16,1,4347f46a
11x19,1,42a50994
10x5,1,496994bd
13x22,1,72322fa7
24x21,1,7b6016b9
22x25,1,7b6016b9
3x18,1,7447852a
7x5,1,99fa7670
5x16,1,963e52fc
5x12,1,963e52fc
5x14,1,963e52fc
15x13,1,928ad970
12x8,1,82819916
9x14,1,8a004b2b
5x17,1,8efcae92
14x13,1,855e0971
3x15,1,7447852a
14x19,1,72322fa7
10x13,1,b7249182
11x24,1,b782dc8a
10x18,1,b7249182
9x2,1,a3325580
10x16,1,a2fd1cf0
7x4,1,beb8660c
10x7,1,beb8660c
6x2,1,bd4472b8
8x3,1,bd4472b8
5x1,1,a3325580
17x15,1,c1d99e64
19x12,1,d07ae81c
19x9,1,c444b776
14x11,1,d687bc17
1x2,1,d631b094
8x11,1,d4a91cb9
3x12,1,d406998b
12x16,1,e8dc4411
19x21,1,e509e548
9x17,1,eb281b96
19x13,1,f1cefba8
